name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region,,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,山口洋中央伯公廟,Shan Kou Yang Zhong Yang Bo Gong Miao,PUSAT KOTA SINGKAWANG,0.909444444,108.9888889,"Jl. Sejahtera No.1, RT 48/06 Kelurahan Melayu",1,w1,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA ADI MOKKHA,華嶽宮/華光帝(華都街),Hua Yue Gong / Huang Guang Di,JL. P. DIPONEGORO,0.906944444,108.9866667,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",2,w2,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA KALAMA KWANTI,協天官/關帝(華都街),Xie Tian Gong / Guan Di,JL. P. DIPONEGORO,0.907222222,108.9863889,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",3,w3,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公廟(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.905277778,108.9927778,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",4,w4,5,Barat (West),,,,,,,,,,,
VIHARA TUNG SHIN KIUNG / THAI SHIN JA,東聖官/大聖爺(蓮堂路),Dong Sheng Gong (Lian Tang Lu),JL. P. NATUNA,0.902222222,108.9894444,"Jl. P. Natuna No.131, RT 15/08 Kelurahan Pasiran",5,w5,7,Barat (West),,,,,,,,,,,
VIHARA TRI RATNA,三尊雷藏寺(吧西蘭),San Zun Lei Cang Si,JL. P. ANTASARI,0.904444444,108.9813889,"Jl. P. Antasari No.77A, Kel. Pasiran",6,w6,7,Barat (West),,,,,,,,,,,
VIHARA SHI THIAN FUT CU,西天佛祖廟,Xi Tian Fo Zu Miao,GUNUNG SARI,0.889722222,108.9769444,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",11,w7,9,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宮/天后聖母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.906666667,108.9872222,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",12,w8,9,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA THAI PAK KUNG,大伯公(三條港),Da Bo Gong (San Tiao Gang),JL. ALIANYANG,0.897222222,108.9711111,"Jl. Alianyang No.46, RT 34/14 Kelurahan Pasiran",13,w9,7,Barat (West),,,,,,,,,,,
CETIYA KON JIM KIUNG,觀音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.891666667,108.9652778,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",15,w10,7,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG / SE PAK KUNG,大伯公壇(小伯公),Da Bo Gong Tan,Jl. SAMA-SAMA,0.905555556,108.9908333,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",17,w11,6,Barat (West),,,,,,,,,,,
VIHARA LIAN THONG SHUI KHEU PAK KUNG,水口伯公廟(芒桔頭),Shui Kou Bo Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.895555556,108.9958333,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",18,w12,7,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(芒桔頭),Shan Qing Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.894722222,108.9952778,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",19,w13,8,Barat (West),,,,,,,,,,,
VIHARA SAM CHIN MIAU / FAB ZHU KUNG,三清廟/法主公(蓮堂路),San Qing Miao / Fa Zhu Gong (Lian Tang Lu),JL. P. NATUNA,0.901666667,108.9916667,"Jl. P. Natuna Gg. Sinar No.81, RT 14.06 Kelurahan Pasiran",20,w14,9,Barat (West),,,,,,,,,,,
VIHARA CHIANG LIUNG MIAU,青龙庙(文輝路),Qing Long Miao (Wen Hui Lu),JALAN BUN FUI,0.914166667,108.9852778,"Jl. Bunfui No.047, RT 06/02 Kelurahan Sijangkung",29,w15,6,Barat (West),,,,,,,,,,,
CETIYA MU JAN PAK KONG,墓園伯公庙(義務山),Mu Yuan Bo Gong Miao (Yi Wu Shan),KAWASAN PEMAKAMAN NYI BU SAN,0.893333333,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",31,w16,5,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公廟(義務山),Da Bo Gong Gong Miao (Yi Wu Shan),KAWASAN PEMAKAMAN NYI BU SAN,0.891388889,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",32,w17,5,Barat (West),,,,,,,,,,,
VIHARA HIAN THIAN SONG TI,玄天上帝廟,Xian Tian Shang Di Miao,JL. GM. SITUT,0.903055556,108.9883333,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",33,w18,6,Barat (West),,,,,,,,,,,
CETIYA LUI THIAN CU SHI,老祖天師廟(三叉路),Lao Zu Tian Shi Miao (San Cha Lu),JL. STASIUN,0.902777778,108.9880556,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",34,w19,5,Barat (West),,,,,,,,,,,
VIHARA THO FAB KIUNG,道法官(蓮堂路),Dao Fa Gong (Lian Tang Lu),JL. P. NATUNA,0.9025,108.99,"Jl. P. Natuna No.22, RT 14/06 Kelurahan Pasiran",35,w20,7,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公廟(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.895,108.9833333,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",39,w21,6,Barat (West),,,,,,,,,,,
CETIYA SHIN NUNG MIAU / NG KUK JA,神農廟/五谷爷,Shen Nong Miao / Wu Gu Ye,JL. TANI,0.907222222,108.9713889,"Jl. Tani, RT 14/03 Kelurahan Pasiran",40,w22,5,Barat (West),,,,,,,,,,,
CETIYA SAK CHI THAN,石慈壇,Shi Ci Tan,JL. PARIT KETAPANG,0.917222222,108.9855556,"Jl. Parit Ketapang 2, RT 15/03 Kelurahan Melayu",41,w23,5,Barat (West),,,,,,,,,,,
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公廟/文武元帥廟,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.896944444,108.9877778,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",42,w24,6,Barat (West),,,,,,,,,,,
CETIYA CONG THIAN SHI,張天師廟(公司山),Zhang Tian Shi Miao (Gong Si Shan),JL. P. NATUNA,0.9,108.9947222,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",46,w25,6,Barat (West),,,,,,,,,,,
CETIYA FO SAN FUT FAB CI KIUN THAN,和善佛法濟君壇(公司山),He Shan Fo Fa Ji Jun Tan (Gong Si Shan),JL. P. NATUNA,0.9,108.9961111,"Jl. P. Natuna, RT 16/06 Kelurahan Pasiran",47,w26,5,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公壇(黄泥路),Da Bo Gong Gong Tan (Huang Ni Lu),JL. KALIMANTAN,0.907222222,108.9930556,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",48,w27,5,Barat (West),,,,,,,,,,,
CETIYA FA SAN THAI CIONG,華山大将廟(吧西蘭),Hua Shan Da Jiang Miao,JL. P. DIPONEGORO,0.9025,108.9811111,"Jl. P. Diponegoro Gg. Tujuh Belas, RT 56/18 Kelurahan Pasiran",,w28,,Barat (West),,,,,,,,,,,
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道慧發佛堂,Mi Le Da Dao Hui Fa Fo Tang,JL. SM. TSJAFIOEDDIN,0.908333333,108.9827778,"Jl. SM. Tsjafioeddin No.32, RT 14/06 Kelurahan Melayu",,w29,,Barat (West),,,,,,,,,,,
CETIYA CHI SAN FAB JAN,慈善法院,Ci Shan Fa Yuan,JL. SM. TSJAFIOEDDIN,0.908333333,108.9825,"Jl. SM. Tsjafioeddin, RT 14/06 Kelurahan Melayu",,w30,,Barat (West),,,,,,,,,,,
CETIYA PIT TET KIUNG,必德宮(吧西蘭),Bi De Gong,JL. P. ANTASARI,0.899722222,108.9736111,"Jl. Bukit Barisan, RT 41/15 Kelurahan Pasiran",,w31,,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN MIAU,三清廟(吧西蘭),Shan Qing Miao,JL. P. ANTASARI,0.896666667,108.9722222,"Jl. Gunung Poteng, RT 35/16 Kelurahan Pasiran",,w32,,Barat (West),,,,,,,,,,,
CETIYA 18 LOHON,十八羅漢(華都背),Shi Ba Luo Han (Hua Du Bei),JL. HERMANSYAH,0.909166667,108.985,"Jl. Hermansyah Gg. Ampera No.33C, RT 30/10 Kelurahan Melayu",,w33,,Barat (West),,,,,,,,,,,
VIHARA (BUDDHAYANA) METTA BHAWANA,觀音堂/齋堂(華都背),Guan Yin Tang / Zhai Tang (Hua Du Bei),JL. HERMANSYAH,0.913333333,108.9863889,"Jl. Hermansyah No.25, RT 26/07 Kelurahan Melayu",,w34,,Barat (West),,,,,,,,,,,
VIHARA PARITTA PANDANA (SIN FO CAI THONG),瑑善宮(新和齋堂),Zhuan Shan Tang (Xin He Zhai Tang),JL. HERMANSYAH,0.909444444,108.9836111,"Jl. Dwi Tunggal, RT 33/09 Kelurahan Melayu",,w35,,Barat (West),,,,,,,,,,,
VIHARA VIMALA KIRTI,尼西蓮庄休佛堂,Ni Xi Lian Zhuang Xiu Fo Tang,JL. PEMBANGUNAN,0.914444444,108.9688889,"Jl. Pembangunan No.17, RT 07/02 Kelurahan Melayu",,w36,,Barat (West),,,,,,,,,,,
YAYASAN DHARMA AVALOKITESVARA,守孝公共佛堂,Shou Xiao Gong Gong Fo Tang,Jl. ALIANYANG,0.910833333,108.9761111,"Jl. Tani, RT 04/01 Kelurahan Kuala",,w37,,Barat (West),,,,,,,,,,,
VIHARA BUDHI MAKMUR,興毅南興佛堂,Xing Yi Nan Xing Fo Tang,Jl. ALIANYANG,0.906111111,108.9775,"Jl. Alianyang No.7C, RT 43/06 Kelurahan Pasiran",,w38,,Barat (West),,,,,,,,,,,
VIHARA CUNG NYI THONG,忠義堂,Zhong Yi Tang,Jl. ALIANYANG,0.912222222,108.9819444,"Jl. Alianyang Gg. Lestrari, RT 23/08 Kelurahan Melayu",,w39,,Barat (West),,,,,,,,,,,
VIHARA MAITREYA BAHTERA SUCI,道岸佛堂,Dao An Fo Tang,JL. TANI,0.914166667,108.9797222,"Jl. Tani Gg. Restu No.39, RT 02/01 Kelurahan Kuala",,w40,,Barat (West),,,,,,,,,,,
CETIYA FA SAN THAI HEU,華山大猴廟,Hua Shan Da Hou Miao,JL. TANI,0.906666667,108.9708333,"Jl. Tani 2, RT 14/03 Kelurahan Pasiran",,w41,,Barat (West),,,,,,,,,,,
CETIYA TRIDHARMA DEWI PADI / NG KUK PHO,神農宮/五谷婆,Shen Nong Gong / Wu Gu Po,JL. TANI,0.901944444,108.9697222,"Jl. Tani Gg. Camar, RT 39/15 Kelurahan Pasiran",,w42,,Barat (West),,,,,,,,,,,
CETIYA TRIDHARMA CHI PO KIUNG,慈保公,Ci Bao Gong,JL. TANI,0.904444444,108.9683333,"Jl. Tani Gg. Nuri, RT 39/15 Kelurahan Pasiran",,w43,,Barat (West),,,,,,,,,,,
CETIYA THIAN SAN KUNG KUNG,天山公公廟,Tian Shan Gong Gong Miao,JL. TANI,0.911111111,108.9738889,"Jl. Tani Gg. Cimahi, RT 04/01 Kelurahan Kuala",,w44,,Barat (West),,,,,,,,,,,
CETIYA NAM HOI KON JIM NYIONG NYIONG,南海觀音娘娘廟,Nan Hai Guan Yin Niang Niang Miao,JL. TANI,0.911111111,108.9736111,"Jl. Tani Gg. Cimahi, RT 04/01 Kelurahan Kuala",,w45,,Barat (West),,,,,,,,,,,
CETIYA SI THAI THIAN BONG,四大天王廟,Si Da Tian Wang Miao,JL. TANI,0.910277778,108.9763889,"Jl. Tani Gg. Pekong, RT 04/01 Kelurahan Kuala",,w46,,Barat (West),,,,,,,,,,,
CETIYA KIM SAN PAK KUNG,金山伯公廟,Jin Shan Bo Gong Miao,JL. TANI,0.9075,108.9763889,"Jl. Tani Gg. Seksama, RT 04/01 Kelurahan Kuala",,w47,,Barat (West),,,,,,,,,,,
CETIYA KIM SAN MIAU,金山廟,Jin Shan Miao,JL. KELAPA DUA,0.912777778,108.9730556,"Jl. Kelapa Dua, RT 04/01 Kelurahan Kuala",,w48,,Barat (West),,,,,,,,,,,
CETIYA FAB SHI MIAU,法師廟,Fa Shi Miao,JL. KELAPA DUA,0.911388889,108.9730556,"Jl. Kelapa Dua, RT 13/03 Kelurahan Kuala",,w49,,Barat (West),,,,,,,,,,,
VIHARA PAK SAN CHAU KIUNG,伯山朝官(蓮堂路),Bo Shan Chao Gong (Lian Tang Lu),JL. P. NATUNA,0.902777778,108.9891667,"Jl. P. Natuna No.16, RT 14/06 Kelurahan Pasiran",,w50,,Barat (West),,,,,,,,,,,
CETIYA THAI CI MIAU,太子廟(蓮堂路),Tai Zi Miao (Lian Tang Lu),JL. P. NATUNA,0.902777778,108.9891667,"Jl. P. Natuna, RT 14/06 Kelurahan Pasiran",,w51,,Barat (West),,,,,,,,,,,
CETIYA CI KO THAI BONG,志高大王壇(蓮堂路),Zhi Gao Da Wang (Lian Tang Lu),JL. P. NATUNA,0.898888889,108.9925,"Jl. P. Natuna Gg. Bambu, RT 17/07 Kelurahan Pasiran",,w52,,Barat (West),,,,,,,,,,,
CETIYA TUNG SHIN MIAU,東聖廟(蓮堂路),Dong Sheng Miao (Lian Tang Lu),JL. P. NATUNA,0.900833333,108.9919444,"Jl. P. Natuna Gg. Samudera, RT 17/07 Kelurahan Pasiran",,w53,,Barat (West),,,,,,,,,,,
CETIYA KON JIM FUT MU,觀音佛母壇(蓮堂路),Guan Yin Fo Mu Tan (Lian Tang Lu),JL. P. NATUNA,0.906111111,108.9922222,"Jl. Pasar Turi, RT 08/04 Kelurahan Pasiran",,w54,,Barat (West),,,,,,,,,,,
CETIYA SIAN KIUNG MIAU FAB,仙宮妙法(井斗厰),Xian Gong Miao Fa (Jing Dou Chang),JL. P. NATUNA,0.897222222,108.9886111,"Jl. P. Natuna, RT 21/08 Kelurahan Pasiran",,w55,,Barat (West),,,,,,,,,,,
CETIYA FAB SHI MIAU,法師廟(公司山),Fa Shi Miao (Gong Si Shan),JL. P. NATUNA,0.899722222,108.9944444,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,w56,,Barat (West),,,,,,,,,,,
VIHARA METTA KARUNA DHARMA SUCI,法妙壇(公司山),Fa Miao Tan (Gong Si Shan),JL. P. NATUNA,0.9,108.9941667,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,w57,,Barat (West),,,,,,,,,,,
CETIYA THU THI PAK KUNG,土地伯公壇(公司山),Tu Di Bo Gong Tan (Gong Si Shan),JL. P. NATUNA,0.895833333,108.9936111,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w58,,Barat (West),,,,,,,,,,,
CETIYA NG FU MIAU,五虎廟(芒桔頭),Wu Hu Miao (Mang Jie Tou),KAMPUNG MANGGIS,0.895555556,108.9958333,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w59,,Barat (West),,,,,,,,,,,
VIHARA MU PUN THO THONG,務本道堂(志師壇),Wu Ben Dao Tang (Zhi Shi Tan),JL. BURHANI,0.89,108.9883333,"Jl. Kridasana Gg. 70 No.32, RT 26/10 Kelurahan Pasiran",,w60,,Barat (West),,,,,,,,,,,
CETIYA CHIP TET KIUNG,集德宮(志師壇),Ji De Gong (Zhi Shi Tan),JL. BURHANI,0.890833333,108.9894444,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w61,,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(志師壇),Shan Qing Gong (Zhi Shi Tan),JL. BURHANI,0.890555556,108.9922222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w62,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公廟(志師壇),Da Bo Gong Miao (Zhi Shi Tan),JL. BURHANI,0.890555556,108.9922222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w63,,Barat (West),,,,,,,,,,,
CETIYA LIUK LIUK KONG SEN,六六罡星(志師壇),Liu Liu Gang Xing (Zhi Shi Tan),JL. BURHANI,0.891666667,108.9936111,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w64,,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN FAB THAN,三清法壇(志師壇),Shan Qing Fa Tan (Zhi Shi Tan),JL. BURHANI,0.891111111,108.9933333,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w65,,Barat (West),,,,,,,,,,,
VIHARA SAK CHI KIUNG,石慈宮(運動場),Shi Ci Gong (Yun Dong Chang),JL. KRIDASANA,0.886944444,108.9833333,"Jl. Kridasana Gg. Karya II No.79, RT 28/11 Kelurahan Pasiran",,w66,,Barat (West),,,,,,,,,,,
CETIYA FUNG MIAN CIONG KIUN,紅面將軍(運動場),Hong Mian Jiang Jun (Yun Dong Chang),JL. KRIDASANA,0.893333333,108.9861111,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w67,,Barat (West),,,,,,,,,,,
CETIYA FUT SHIN KIUNG,佛神宮(運動場),Fo Shen Gong (Yun Dong Chang),JL. KRIDASANA,0.893611111,108.9866667,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w68,,Barat (West),,,,,,,,,,,
CETIYA FA SAN LI FAB THAN,華山李法壇(運動場),Hua Shan Li Fa Tan (Yun Dong Chang),JL. KRIDASANA,0.892777778,108.9855556,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w69,,Barat (West),,,,,,,,,,,
CETIYA FAB SHI THAN,法師壇,Fa Shi Tan,JL. KRIDASANA,0.896944444,108.9872222,"Jl. Kridasana Gg. Makasar, RT 20/09 Kelurahan Pasiran",,w70,,Barat (West),,,,,,,,,,,
VIHARA DHARMA BUDDHA DHAMMA SAVANA,晋恩佛堂(三叉路),Jin En Fo Tang (San Cha Lu),JL. YOHANA GODANG,0.898333333,108.9844444,"Jl. Yohana Godang No.57, RT 48/17 Kelurahan Pasiran",,w71,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公廟(港尾肚),Da Bo Gong Gong Miao (Gang Wei Du),PASAR TURI DALAM,0.901666667,108.9969444,"Jl. Pasar Turi Dalam, RT 18/07 Kelurahan Pasiran",,w72,,Barat (West),,,,,,,,,,,
CETIYA NYIAN SAI THONG,元帥堂,Yuan Shuai Tang,Jl. SAMA-SAMA 2,0.905,108.9911111,"Jl. Sama-sama 2 No.76, RT 09/04 Kelurahan Pasiran",,w73,,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUDI DHARMA,觀音宮,Guan Yin Gong,JL. GM. SITUT,0.905,108.9897222,"Jl. GM. Situt, RT 07/02 Kelurahan Pasiran",,w74,,Barat (West),,,,,,,,,,,
CETIYA SAK KU THAI BONG,石古大王壇,Shi Gu Da Wang Tan,GUNUNG SARI,0.8925,108.9794444,"Jl. Gunung Bawang, RT 30/12 Kelurahan Pasiran",,w75,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公壇,Da Bo Gong Tan,GUNUNG SARI,0.886666667,108.9811111,"Jl. Taman Gunung Sari, RT 28/11 Kelurahan Pasiran",,w76,,Barat (West),,,,,,,,,,,
CETIYA LIM PAK KUNG,林伯公壇(海望),Lin Bo Gong Tan (Hai Wang),MUARA KUALA,0.920277778,108.9658333,"Kawasan Terminal Induk, RT 14/05 Kelurahan Sei. Wie",,w77,,Barat (West),,,,,,,,,,,
VIHARA SAM CHIN MIAU / FAB ZHU KUNG,三清庙/法主公(莲堂路),San Qing Miao / Fa Zhu Gong (Lian Tang Lu),JL. P. NATUNA,0.901666667,108.9916667,"Jl. P. Natuna Gg. Sinar No.81, RT 14.06 Kelurahan Pasiran",,w78,,Barat (West),,,,,,,,,,,
CETIYA KON JIM FUT MU,观音佛母坛(莲堂路),Guan Yin Fo Mu Tan (Lian Tang Lu),JL. P. NATUNA,0.906111111,108.9922222,"Jl. Pasar Turi, RT 08/04 Kelurahan Pasiran",,w79,,Barat (West),,,,,,,,,,,
CETIYA SIAN KIUNG MIAU FAB,仙宮妙法(井斗厂),Xian Gong Miao Fa (Jing Dou Chang),JL. P. NATUNA,0.897222222,108.9886111,"Jl. P. Natuna, RT 21/08 Kelurahan Pasiran",,w80,,Barat (West),,,,,,,,,,,
CETIYA CONG THIAN SHI,張天师庙(公司山),Zhang Tian Shi Miao (Gong Si Shan),JL. P. NATUNA,0.9,108.9947222,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,w81,,Barat (West),,,,,,,,,,,
CETIYA FAB SHI MIAU,法师庙(公司山),Fa Shi Miao (Gong Si Shan),JL. P. NATUNA,0.899722222,108.9944444,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,w82,,Barat (West),,,,,,,,,,,
VIHARA METTA KARUNA DHARMA SUCI,法妙坛(公司山),Fa Miao Tan (Gong Si Shan),JL. P. NATUNA,0.9,108.9941667,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,w83,,Barat (West),,,,,,,,,,,
CETIYA HO SAN FUT FAB KI KIUN THONG,和善佛法济君坛(公司山),He Shan Fo Fa Ji Jun Tan (Gong Si Shan),JL. P. NATUNA,0.9,108.9961111,"Jl. P. Natuna, RT 16/06 Kelurahan Pasiran",,w84,,Barat (West),,,,,,,,,,,
CETIYA THU THI PAK KUNG,土地伯公坛(公司山),Tu Di Bo Gong Tan (Gong Si Shan),JL. P. NATUNA,0.895833333,108.9936111,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w85,,Barat (West),,,,,,,,,,,
VIHARA LIAN THONG SHUI KHEU PAK KUNG,水口伯公庙(芒桔头),Shui Kou Bo Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.895555556,108.9958333,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w86,,Barat (West),,,,,,,,,,,
CETIYA NG FU MIAU,五虎庙(芒桔头),Wu Hu Miao (Mang Jie Tou),KAMPUNG MANGGIS,0.895555556,108.9958333,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w87,,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(芒桔头),Shan Qing Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.894722222,108.9952778,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w88,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公庙,Da Bo Gong Gong Miao,KAWASAN PEMAKAMAN NYI BU SAN,0.891388889,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w89,,Barat (West),,,,,,,,,,,
CETIYA MU JAN PAK KONG,墓园伯公庙,Mu Yuan Bo Gong Miao,KAWASAN PEMAKAMAN NYI BU SAN,0.893333333,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",,w90,,Barat (West),,,,,,,,,,,
VIHARA MU PUN THO THONG,务本道堂(志师坛),Mu Ben Dao Tang (Zhi Shi Tan),JL. BURHANI,0.89,108.9883333,"Jl. Kridasana Gg. 70 No.32, RT 26/10 Kelurahan Pasiran",,w91,,Barat (West),,,,,,,,,,,
CETIYA CHIP TET KIUNG,集德宮(志师坛),Ji De Gong (Zhi Shi Tan),JL. BURHANI,0.890833333,108.9894444,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w92,,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(志师坛),Shan Qing Gong (Zhi Shi Tan),JL. BURHANI,0.890555556,108.9922222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w93,,Barat (West),,,,,,,,,,,Selatan (South)
CETIYA THAI PAK KUNG,大伯公庙(志师坛),Da Bo Gong Miao (Zhi Shi Tan),JL. BURHANI,0.890555556,108.9922222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w94,,Barat (West),,,,,,,,,,,
CETIYA LIUK LIUK KONG SEN,六六罡星(志师坛),Liu Liu Gang Xing (Zhi Shi Tan),JL. BURHANI,0.891666667,108.9936111,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w95,,Barat (West),,,,,,,,,,,
