name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region,,,,,,,,,,,
CETIYA SAM CHIN FAB THAN,三清法坛(志师坛),Shan Qing Fa Tan (Zhi Shi Tan),JL. BURHANI,0.891111111,108.9933333,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,w96,,Barat (West),,,,,,,,,,,
VIHARA SAK CHI KIUNG,石慈官(运动场),Shi Ci Gong (Yun Dong Chang),JL. KRIDASANA,0.886944444,108.9833333,"Jl. Kridasana Gg. Karya II No.79, RT 28/11 Kelurahan Pasiran",,w97,,Barat (West),,,,,,,,,,,
CETIYA FUNG MIAN CIONG KIUN,紅面將军(运动场),Hong Mian Jiang Jun (Yun Dong Chang),JL. KRIDASANA,0.893333333,108.9861111,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w98,,Barat (West),,,,,,,,,,,
CETIYA FUT SHIN KIUNG,佛神宮(运动场),Fo Shen Gong (Yun Dong Chang),JL. KRIDASANA,0.893611111,108.9866667,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w99,,Barat (West),,,,,,,,,,,
CETIYA FA SAN LI FAB THAN,华山李法坛(运动场),Hua Shan Li Fa Tan (Yun Dong Chang),JL. KRIDASANA,0.892777778,108.9855556,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,w100,,Barat (West),,,,,,,,,,,
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公庙/文武元帅庙,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.896944444,108.9877778,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",,w101,,Barat (West),,,,,,,,,,,
CETIYA FAB SHI THAN,法师坛,Fa Shi Tan,JL. KRIDASANA,0.896944444,108.9872222,"Jl. Kridasana Gg. Makasar, RT 20/09 Kelurahan Pasiran",,w102,,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公庙(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.895,108.9833333,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",,w103,,Barat (West),,,,,,,,,,,
VIHARA DHARMA BUDDHA DHAMMA SAVANA,晋恩佛堂(三叉路),Jin En Fo Tang (San Cha Lu),JL. YOHANA GODANG,0.898333333,108.9844444,"Jl. Yohana Godang No.57, RT 48/17 Kelurahan Pasiran",,w104,,Barat (West),,,,,,,,,,,
CETIYA LUI THIAN CU SHI,雷天祖师庙(三叉路),Lei Thian Zu Shi Miao (San Cha Lu),JL. STASIUN,0.902777778,108.9880556,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",,w105,,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公庙(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.905277778,108.9927778,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",,w106,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公庙(港尾肚),Da Bo Gong Gong Miao (Gang Wei Du),PASAR TURI DALAM,0.901666667,108.9969444,"Jl. Pasar Turi Dalam, RT 18/07 Kelurahan Pasiran",,w107,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公坛,Da Bo Gong Tan,Jl. SAMA-SAMA,0.905555556,108.9908333,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",,w108,,Barat (West),,,,,,,,,,,
CETIYA NYIAN SAI THONG,元帅堂,Yuan Shuai Tang,Jl. SAMA-SAMA 2,0.905,108.9911111,"Jl. Sama-sama 2 No.76, RT 09/04 Kelurahan Pasiran",,w109,,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宫/天后圣母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.906666667,108.9872222,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",,w110,,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUDI DHARMA,观音官,Guan Yin Gong,JL. GM. SITUT,0.905,108.9897222,"Jl. GM. Situt, RT 07/02 Kelurahan Pasiran",,w111,,Barat (West),,,,,,,,,,,
VIHARA HIAN THIAN SONG TI,玄天上帝庙,Xian Tian Shang Di Miao,JL. GM. SITUT,0.903055556,108.9883333,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",,w112,,Barat (West),,,,,,,,,,,
VIHARA SHI THIAN FUT CU,西天佛祖庙,Xi Tian Fo Zu Miao,GUNUNG SARI,0.889722222,108.9769444,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",,w113,,Barat (West),,,,,,,,,,,
CETIYA SAK KU THAI BONG,石古大王坛,Shi Gu Da Wang Tan,GUNUNG SARI,0.8925,108.9794444,"Jl. Gunung Bawang, RT 30/12 Kelurahan Pasiran",,w114,,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公坛,Da Bo Gong Tan,GUNUNG SARI,0.886666667,108.9811111,"Jl. Taman Gunung Sari, RT 28/11 Kelurahan Pasiran",,w115,,Barat (West),,,,,,,,,,,
CETIYA KON JIM KIUNG,观音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.891666667,108.9652778,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",,w116,,Barat (West),,,,,,,,,,,
VIHARA SURGA NERAKA / SAN THONG,恕德堂(三吧叻-霸狮山),Shu De Tang (San Ba Le-Ba Shi Shan),SEMPALIT-GUNUNG PASI,0.839722222,108.9880556,"Jl. Sagatani Simajat Gg. Pasqua, RT 23/05 Kelurahan Sijangkung",7,s1,13,Selatan (South),,,,,,,,,,,
VIHARA DHARMA BUDDHA CIKUNG,濟公活佛堂(新喃),Ji Gong Fa Fo Tang (Xin Nan),SINNAM,0.872777778,108.9905556,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung",8,s2,19,Selatan (South),,,,,,,,,,,
VIHARA SAK BONG MIAU / SAK KU THAI BONG,石王廟/石古大王(巴古喃),Shi Wang Miao / Shi Gu Da Wang (Ba Gu Nan),PAKUNAM,0.858333333,108.9847222,"Jl. Raya Sagatani, Pakunam, RT 10/02 Kelurahan Sijangkung",9,s3,9,Selatan (South),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,石狮大伯公廟(鹽町),Shi Shi Da Bo Gong Miao (Yan Ting),JALAN RAYA SEDAU,0.870277778,108.9361111,"Jl. Raya Sedau, RT 30/06 Kelurahan Sedau",10,s4,8,Selatan (South),,,,,,,,,,,
VIHARA THAI JIM THAI JONG SEN KIUN,日月宮/太陰太陽星軍 (石角),Tai Yin Tai Yang Xing Jun / Ri Yue Gong (Shi Jiao),TANJUNG BATU (SAKKOK),0.889166667,108.9616667,"Jl. Karang Intan Gg. Kopisan, RT 07/02 Kelurahan Sedau",14,s5,6,Selatan (South),,,,,,,,,,,
VIHARA THAI CU SHIN TI,太祖聖帝宮(石角),Tai Zu Sheng Di Gong (Shi Jiao),TANJUNG BATU (SAKKOK),0.890833333,108.9633333,"Jl. Raya Tanjung Batu Gg. Daya, RT 01/01 Kelurahan Sedau",23,s6,11,Selatan (South),,,,,,,,,,,
VIHARA SAM THIAN THAI CI,三天太子廟(石角),San Tian Tai Zi Miao (Shi Jiao),TANJUNG BATU (SAKKOK),0.890833333,108.9630556,"Jl. Raya Tanjung Batu Gg. Daya, RT 01/01 Kelurahan Sedau",24,s7,6,Selatan (South),,,,,,,,,,,
VIHARA SAM SHIN KIUNG,三聖宮(亜答港),San Sheng Gong (Ya Da Gang),SEDAU,0.865277778,108.9288889,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",25,s8,6,Selatan (South),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(亜答港),Da Bo Gong Miao (Ya Da Gang),SEDAU,0.865833333,108.9286111,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",26,s9,12,Selatan (South),,,,,,,,,,,
CETIYA FUT MU KIUNG,佛母宮(文輝路),Fo Mu Gong (Wen Hui Lu),JALAN BUN FUI,0.882222222,108.9788889,"Jl. Bunfui, RT 06/02 Kelurahan Sijangkung",28,s10,5,Selatan (South),,,,,,,,,,,
VIHARA SAM CHIN MIAU,三清廟(文輝路),San Qing Miao (Wen Hui Lu),JALAN BUN FUI,0.869722222,108.9811111,"Jl. Bunfui Gg. Sentosa, RT 06/02 Kelurahan Sijangkung",30,s11,7,Selatan (South),,,,,,,,,,,
VIHARA PET TI KIUNG,北帝宮(亜答港),Bei Di Gong (Ya Da Gang),SEDAU,0.864166667,108.9269444,"Jl. Malindo Teluk Karang, RT 40/07 Kelurahan Sedau",36,s12,7,Selatan (South),,,,,,,,,,,
VIHARA SAM CHIN FAB JAN,三清法院(亜答港),San Qing Fa Yuan (Ya Da Gang),SEDAU,0.869444444,108.9261111,"Jl. Malindo Teluk Karang No.01, RT 41/07 Kelurahan Sedau",37,s13,7,Selatan (South),,,,,,,,,,,
VIHARA FUK TET KIUNG / KON THIAN PAK KUNG,福德宮/官田伯公(禮朗),Fu De Gong / Guan Tian Bo Gong (Li Lang),GUNUNG BESI - LIRANG,0.853055556,108.9238889,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",38,s14,7,Selatan (South),,,,,,,,,,,
VIHARA VIMALA CHANDA ARAMA,凈愿寺(新喃),Jing Yuan Si (Xin Nan),SINNAM,0.878055556,108.9908333,"Jl. Sagatani Gg. Anugerah No.1, Sinnam, RT 08/02 Kelurahan Sijangkung",43,s15,6,Selatan (South),,,,,,,,,,,
VIHARA SAM BONG MIAU / BONG JA,三王廟/王爺(新喃),San Wang Miao / Wang Ye (Xin Nan),SINNAM,0.8775,108.9919444,"Jl. Sagatani Gare, Sinnam, RT 11/03 Kelurahan Sijangkung",44,s16,6,Selatan (South),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公廟,Da Bo Gong Miao,JL. TANI,0.895833333,108.9641667,"Jl. Tani Gg. Padi, RT 34/15 Kelurahan Pasiran",,s17,,Selatan (South),,,,,,,,,,,
CETIYA FAB SHI KUNG KUNG,法師公公壇(長沙吧),Fa Shi Gong Gong Tan (Zhang Sha Ba),PASIR PANJANG,0.850277778,108.8869444,"Jl. Pasir Panjang Pak Lotay, RT 64/10 Kelurahan Sedau",,s18,,Selatan (South),,,,,,,,,,,
CETIYA FUK SHIN BONG KIUNG,福聖王宮(锅麻港),Fu Sheng Wang Gong (Guo Ma Gang),BOKMAKONG - PASIR PANJANG,0.835277778,108.8977778,"Jl. Raya Pasir Panjang (Bokmakong), RT 65/10 Kelurahan Sedau",,s19,,Selatan (South),,,,,,,,,,,
VIHARA SHIN TET KIUNG,聖德宮(禮朗),Sheng De Gong (Li Lang),GUNUNG BESI - LIRANG,0.840277778,108.9152778,"Jl. Lirang Proyek, RT 49/08 Kelurahan Sedau",,s20,,Selatan (South),,,,,,,,,,,
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(禮朗),Mi Le Da Dao Ren Zhong Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.838055556,108.9172222,"Jl. Lirang Proyek, RT 50/08 Kelurahan Sedau",,s21,,Selatan (South),,,,,,,,,,,
VIHARA FUT FAB KIUNG,佛法宮(禮朗),Fo Fa Gong (Li Lang),GUNUNG BESI - LIRANG,0.84,108.9180556,"Jl. Pendidikan (Lirang Proyek), RT 50/08 Kelurahan Sedau",,s22,,Selatan (South),,,,,,,,,,,
VIHARA FAB CHIN MIAU,法清廟(礼朗),Fa Qing Miao (Li Lang),GUNUNG BESI (LIRANG),0.847777778,108.9197222,"Jl. Gunung Besi Raya, RT 48/08 Kelurahan Sedau",,s23,,Selatan (South),,,,,,,,,,,
CETIYA SAK CIONG KIUN,石将宮(禮朗),Shi Jiang Gong (Li Lang),GUNUNG BESI - LIRANG,0.849722222,108.9236111,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",,s24,,Selatan (South),,,,,,,,,,,
VIHARA HONG DE,宏德佛堂(禮朗),Hong De Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.853333333,108.9261111,"Jl. Sejahtera No.55, RT 46/08 Kelurahan Sedau",,s25,,Selatan (South),,,,,,,,,,,
CETIYA THO FAB SIU LIN,道法授靈壇(亜答港),Dao Fa Shou Ling Tan (Ya Da Gang),SEDAU,0.861111111,108.9044444,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",,s26,,Selatan (South),,,,,,,,,,,
CETIYA LIN SAN KIUNG THONG,靈山宮堂(亜答港),Ling Shan Gong Tang (Ya Da Gang),SEDAU,0.86,108.9038889,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",,s27,,Selatan (South),,,,,,,,,,,
VIHARA KON JIM MIAU,觀音廟(亜答港),Guan Yin Miao (Ya Da Gang),SEDAU,0.856944444,108.9177778,"Jl. Malindo Teluk Karang (Dalam), RT 40/07 Kelurahan Sedau",,s28,,Selatan (South),,,,,,,,,,,
VIHARA THAI PAK KUNG KUNG,大伯公公(鹽町),Da Bo Gong Gong (Yan Ting),KALIASIN LUAR,0.871111111,108.9425,"Jl. Pasar Kaliasin, RT 23/04 Kelurahan Sedau",,s29,,Selatan (South),,,,,,,,,,,
VIHARA KON TI KIUNG,關帝宮(鹽町),Guan Di Gong (Yan Ting),KALIASIN,0.870833333,108.9416667,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,s30,,Selatan (South),,,,,,,,,,,
CETIYA CHIANG FA THAI CI MIAU,青华太子廟(鹽町肚),Qing Hua Tai Zi Miao (Yan Ting Du),KALIASIN DALAM,0.86,108.9433333,"Jl. Kaliasin Dalam Gg. Naca, RT 02/01 Kelurahan Sedau",,s31,,Selatan (South),,,,,,,,,,,
VIHARA THAI PAK KUNG,大伯公廟(鹽町肚),Da Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.861111111,108.9447222,"Jl. Kaliasin Dalam, RT 25/05 Kelurahan Sedau",,s32,,Selatan (South),,,,,,,,,,,
VIHARA NACA HANG KIUNG (THAI CI SAN),哪吒行宮(鹽町肚-太子山),Na Zha Hang Gong (Yan Ting Du-Tai Zi Shan),KALIASIN DALAM,0.862222222,108.9491667,"Jl. Kaliasin Dalam Gg. Kelenteng Naca, RT 26/05 Kelurahan Sedau",,s33,,Selatan (South),,,,,,,,,,,
CETIYA SAM KON MIAU,三官廟(鹽町肚),San Guan Miao (Yan Ting Du),KALIASIN DALAM,0.855,108.9544444,"Jl. Kaliasin Dalam Gg. Durian, RT 26/05 Kelurahan Sedau",,s34,,Selatan (South),,,,,,,,,,,
VIHARA THIAN LIN FAB KIUNG,天靈法宮(鹽町肚),Tian Ling Fa Gong (Yan Ting Du),(JONG THAI PAK KUNG) KALIASIN DALAM,0.857777778,108.9477778,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",,s35,,Selatan (South),,,,,,,,,,,
VIHARA SI FONG PAK KUNG,西方伯公廟(鹽町肚),Xi Fang Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.857222222,108.9477778,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",,s36,,Selatan (South),,,,,,,,,,,
VIHARA FUK NUNG KIUNG / SUI KHEU PAK KUNG,福農宮/水口伯公(鹽町肚),Fu Nong Gong / Shui Kou Bo Gong (Yan Ting Du),KALIASIN DALAM,0.855,108.9461111,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",,s37,,Selatan (South),,,,,,,,,,,
CETIYA FAB MIN KIUNG,法民宮(鹽町肚),Fa Min Gong (Yan Ting Du),KALIASIN DALAM,0.853333333,108.9458333,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",,s38,,Selatan (South),,,,,,,,,,,
VIHARA KON JIM MIAU,觀音廟(鹽町肚),Guan Yin Miao (Yan Ting Du),KALIASIN DALAM,0.847777778,108.9575,"Jl. Kaliasin Dalam Gg. Sip Si Sha Thon, RT 27/05 Kelurahan Sedau",,s39,,Selatan (South),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(鹽町肚),San Qing Gong (Yan Ting Du),KALIASIN DALAM,0.848055556,108.945,"Jl. Kaliasin Dalam Gg. Cetya, RT 28/05 Kelurahan Sedau",,s40,,Selatan (South),,,,,,,,,,,
CETIYA FUK HIN THONG,福興堂(鹽町肚),Fu Xing Tang (Yan Ting Du),KALIASIN DALAM,0.841666667,108.9516667,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,s41,,Selatan (South),,,,,,,,,,,
CETIYA HIAN BONG MIAU,玄黄廟(鹽町肚-港尾),Xian Huang Miao (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.837777778,108.9533333,"Jl. Kong Mui Kaliasin Dalam Gg. CHJ, RT 29/05 Kelurahan Sedau",,s42,,Selatan (South),,,,,,,,,,,
CETIYA KHIAN NYIAN KIUNG,乾元宮(鹽町肚-港尾),Qian Yuan Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.832777778,108.9505556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,s43,,Selatan (South),,,,,,,,,,,
VIHARA KON TI KIUNG,關帝宮(鹽町肚-港尾),Guan Di Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.828055556,108.9480556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,s44,,Selatan (South),,,,,,,,,,,
CETIYA TRIDHARMA BUMI RAYA KONG MUI,福德宮/大伯公(鹽町肚-港尾),Fu De Gong / Da Bo Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.821111111,108.9405556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,s45,,Selatan (South),,,,,,,,,,,
CETIYA FUK TET KIUNG,福德宮(茅屋肚),Fu De Gong (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.870277778,108.9522222,"Jl. Budi Agung (Saliung) Kelurahan Sedau, Pemakaman Abadi Miong Buk Tu",,s46,,Selatan (South),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公壇(茅屋肚),Da Bo Gong Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.869444444,108.9502778,"Jl. Budi Agung (Saliung) Gg. Ciu Long, RT 18/04 Kelurahan Sedau",,s47,,Selatan (South),,,,,,,,,,,
CETIYA PO ON THAN,保安壇(茅屋肚),Bao An Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.873611111,108.9502778,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",,s48,,Selatan (South),,,,,,,,,,,
CETIYA PO SAN LO MU,寳山老母壇(茅屋肚),Bao Shan Lao Mu Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.868611111,108.9522222,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",,s49,,Selatan (South),,,,,,,,,,,
VIHARA THIAN HEU KIUNG / CHIAP THIAN KIUNG,天后宮/協天宮(沙壟),Tian Hou Gong / Xie Tian Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775,108.9497222,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",,s50,,Selatan (South),,,,,,,,,,,
VIHARA TRIDHARMA SETYA BUMI RAYA,大伯公公廟(沙壟),Da Bo Gong Gong Miao (Sha Long),PADANG PASIR (SALIUNG),0.878333333,108.9508333,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",,s51,,Selatan (South),,,,,,,,,,,
VIHARA KHIAN TET KIUNG,乾德宮(沙壟),Qian De Gong (Sha Long),PADANG PASIR (SALIUNG),0.888333333,108.9594444,"Jl. Raya Padang Pasir (Saliung), RT 08/02 Kelurahan Sedau",,s52,,Selatan (South),,,,,,,,,,,
VIHARA THAI PAK KUNG,大伯公廟(沙壟),Da Bo Gong Miao (Sha Long_,PADANG PASIR (SALIUNG),0.884444444,108.9558333,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,s53,,Selatan (South),,,,,,,,,,,
CETIYA THI CU PAK KUNG,地主公壇(沙壟-監獄),Di Zhu Bo Gong Tan (Sha Long-Jian Yu),(LEMBAGA PEMASYARAKATAN),0.883333333,108.9566667,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,s54,,Selatan (South),,,,,,,,,,,
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(沙壟),Mi Le Da Dao Ren Zhong Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.884444444,108.9544444,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,s55,,Selatan (South),,,,,,,,,,,
VIHARA THI CU KUNG (KIM LIUNG PAK KUNG),地主公廟/金龍伯公(沙壟),Di Zhu Gong Miao / Jin Long Bo Bong (Sha Long),PADANG PASIR (SALIUNG),0.880555556,108.9544444,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",,s56,,Selatan (South),,,,,,,,,,,
VIHARA FA NGOK KIUNG,華嶽宮(沙壟),Hue Yue Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775,108.9561111,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",,s57,,Selatan (South),,,,,,,,,,,
VIHARA CAKRAWALA DHARMA SINGKAWANG,誠德佛堂(沙壟),Cheng De Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.881666667,108.9541667,"Jl. Latsitarda (Saliung), RT 16/04 Kelurahan Sedau",,s58,,Selatan (South),,,,,,,,,,,
VIHARA KHOI SAN THI CU PAK KUNG,開山地主大伯公廟(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.867222222,108.9630556,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",,s59,,Selatan (South),,,,,,,,,,,
CETIYA FAB THO CIN NYIN,法道真人壇(高杯山),Fa Dao Zhen Ren Tan (Gao Bei Shan),KOPISAN,0.866944444,108.9625,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",,s60,,Selatan (South),,,,,,,,,,,
CETIYA KIU THIAN HIAN NG CUN SHIN,九天玄女尊神壇(高杯山),Jiu Tian Xian Nu Zun Shen Tan (Gao Bei Shan),KOPISAN,0.862777778,108.9683333,"Jl. Tanjung Batu Dalam (Kopisan), RT 15/03 Kelurahan Sedau",,s61,,Selatan (South),,,,,,,,,,,
CETIYA JIN FUK KUI THONG,引福歸堂(高杯山),Yin Fu Gui Tang (Gao Bei Shan),KOPISAN,0.862777778,108.97,"Jl. Tanjung Batu Dalam (Kopisan) Gg. Bugis, RT 15/03 Kelurahan Sedau",,s62,,Selatan (South),,,,,,,,,,,
VIHARA BUMI RAYA THAI PAK KUNG,大伯公廟(高杯山),Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.873055556,108.9661111,"Jl. Tanjung Batu Dalam, RT 11/03 Kelurahan Sedau",,s63,,Selatan (South),,,,,,,,,,,
VIHARA CUNG NGO THONG,忠峩堂(高杯山),Zhong E Tang (Gao Bei Shan),KOPISAN,0.873888889,108.9658333,"Jl. Tanjung Batu Dalam (Kopisan), RT 11/03 Kelurahan Sedau",,s64,,Selatan (South),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公壇(高杯山),Da Bo Gong Gong Tan (Gao Bei Shan),KOPISAN,0.876666667,108.9744444,"Jl. Suka Ramai (Kopisan), RT 12/03 Kelurahan Sedau",,s65,,Selatan (South),,,,,,,,,,,
CETIYA KHOI SAN THI CU PAK KUNG,開山地主大伯公壇(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.872777778,108.9691667,"Jl. Suka Maju (Kopisan), RT 12/03 Kelurahan Sedau",,s66,,Selatan (South),,,,,,,,,,,
VIHARA FAB LIN KIUNG,法靈宮(高杯山),Fa Ling Gong (Gao Bei Shan),KOPISAN,0.883055556,108.9647222,"Jl. Tanjung Batu Dalam (Kopisan), RT 04/01 Kelurahan Sedau",,s67,,Selatan (South),,,,,,,,,,,
CETIYA LU SAN PAK KUNG,廬山廟(高杯山),Lu Shan Miao (Gao Bei Shan),KOPISAN,0.885,108.9588889,"Jl. Sosial Gg. Sosial 4, RT 03/01 Kelurahan Sedau",,s68,,Selatan (South),,,,,,,,,,,
