 NO. , NAMA VIHARA , MANDARIN , GPS ,,, ALAMAT , DESCRIPTION 
1, VIHARA TRIDHARMA BUMI RAYA , 山口洋中央伯公庙 , N  00º  , 43' 34 ," 28"" ", Jl. Sejahtera No.1  , DONE 
, PUSAT KOTA SINGKAWANG ,   Shan Kou Yang Zhong Yang Bo Gong Miao , E 108º  , 59' 20 ," 42"" ", RT 48/06 Kelurahan Melayu ,
2, VIHARA TRIDHARMA ADI MOKKHA , 华嶽官/华光帝(华度街) , N  00º  , 54' 25 ," 71"" ", Jl. P. Diponegoro No.1 , DONE 
, JL. P. DIPONEGORO ,   Hua Yue Gong / Huang Guang Di , E 108º  , 59' 12 ," 34"" ", RT 02/01 Kelurahan Pasiran ,
3, VIHARA TRIDHARMA  KALAMA KWANTI , 协天官/关帝 , N  00º  , 54' 26 ," 50"" ", Jl. P. Diponegoro No.1 , DONE 
, JL. P. DIPONEGORO ,   Xie Tian Gong / Guan Di , E 108º  , 59' 11 ," 82"" ", RT 02/01 Kelurahan Pasiran ,
4, CETIYA FA SAN THAI CIONG , 华山大将庙(吧西兰) , N  00º  , 54' 09 ," 77"" ", Jl. P. Diponegoro Gg. Tujuh Belas ,
, JL. P. DIPONEGORO ,   Hua Shan Da Jiang Miao , E 108º  , 58' 52 ," 89"" ", RT 56/18 Kelurahan Pasiran ,
5, VIHARA DHARMA BUDDHA MAITREYA , 弥勒大道慧发佛堂 , N  00º  , 54' 30 ," 42"" ", Jl. SM. Tsjafioeddin No.32 ,
, JL. SM. TSJAFIOEDDIN ,   Mi Le Da Dao Hui Fa Fo Tang , E 108º  , 58' 58 ," 57"" ", RT 14/06 Kelurahan Melayu ,
6, CETIYA CHI SAN FAB JAN , 慈善法院 , N  00º  , 54' 30 ," 76"" ", Jl. SM. Tsjafioeddin  ,
, JL. SM. TSJAFIOEDDIN ,   Ci Shan Fa Yuan , E 108º  , 58' 57 ," 58"" ", RT 14/06 Kelurahan Melayu ,
7, VIHARA TRI RATNA , 三尊雷藏寺(吧西兰) , N  00º  , 54' 16 ," 87"" ", Jl. P. Antasari No.77A , DONE 
, JL. P. ANTASARI ,   San Zun Lei Cang Si , E 108º  , 58' 53 ," 90"" ", Kel. Pasiran  ,
8, CETIYA PIT TET KIUNG , 必德宮(吧西兰) , N  00º  , 53' 59 ," 20"" ", Jl. Bukit Barisan ,
, JL. P. ANTASARI ,   Bi De Gong , E 108º  , 58' 25 ," 45"" ", RT 41/15 Kelurahan Pasiran ,
9, CETIYA SAM CHIN MIAU , 三清庙(吧西兰) , N  00º  , 53' 48 ," 38"" ", Jl. Gunung Poteng ,
, JL. P. ANTASARI ,   Shan Qing Miao , E 108º  , 58' 20 ," 04"" ", RT 35/16 Kelurahan Pasiran ,
10, CETIYA 18 LOHON , 十八罗汉(华度背) , N  00º  , 54' 33 ," 01"" ", Jl. Hermansyah Gg. Ampera No.33C ,
, JL. HERMANSYAH ,   Shi Ba Luo Han (Hua Du Bei) , E 108º  , 59' 06 ," 68"" ", RT 30/10 Kelurahan Melayu ,
11, VIHARA (BUDDHAYANA) METTA BHAWANA , 观音堂/斋堂(华度背) , N  00º  , 54' 48 ," 39"" ", Jl. Hermansyah No.25 ,
, JL. HERMANSYAH ,   Guan Yin Tang / Zhai Tang (Hua Du Bei) , E 108º  , 59' 11 ," 43"" ", RT 26/07 Kelurahan Melayu ,
12, VIHARA PARITTA PANDANA (SIN FO CAI THONG) , 瑑善宮(新和斋堂) , N  00º  , 54' 34 ," 59"" ", Jl. Dwi Tunggal , BUDDHAYANA 
, JL. HERMANSYAH ,   Zhuan Shan Tang (Xin He Zhai Tang) , E 108º  , 59' 01 ," 83"" ", RT 33/09 Kelurahan Melayu ,
13, VIHARA VIMALA KIRTI , 尼西莲庄休佛堂 , N  00º  , 54' 52 ," 16"" ", Jl. Pembangunan No.17 , NICIREN SYOSYU 
, JL. PEMBANGUNAN ,   Ni Xi Lian Zhuang Xiu Fo Tang , E 108º  , 58' 08 ," 90"" ", RT 07/02 Kelurahan Melayu ,
14, CETIYA SAK CHI THAN , 石慈坛 , N  00º  , 55' 02 ," 10"" ", Jl. Parit Ketapang 2 ,
, JL. PARIT KETAPANG ,   Shi Ci Tan , E 108º  , 59' 08 ," 59"" ", RT 15/03 Kelurahan Melayu ,
15, VIHARA TRIDHARMA BUMI RAYA THAI PAK KUNG , 大伯公(三条港) , N  00º  , 53' 50 ," 31"" ", Jl. Alianyang No.46 ,
, JL. ALIANYANG ,   Da Bo Gong (San Tiao Gang , E 108º  , 58' 16 ," 31"" ", RT 34/14 Kelurahan Pasiran ,
16, YAYASAN DHARMA AVALOKITESVARA , 守孝公共佛堂 , N  00º  , 54' 39 ," 61"" ", Jl. Tani ,
, Jl. ALIANYANG ,   Shou Xiao Gong Gong Fo Tang , E 108º  , 58' 34 ," 98"" ", RT 04/01 Kelurahan Kuala ,
17, VIHARA BUDHI MAKMUR , 兴毅南兴佛堂 , N  00º  , 54' 22 ," 90"" ", Jl. Alianyang No.7C ,
, Jl. ALIANYANG ,   Xing Yi Nan Xing Fo Tang , E 108º  , 58' 39 ," 37"" ", RT 43/06 Kelurahan Pasiran ,
18, VIHARA CUNG NYI THONG , 忠义堂 , N  00º  , 54' 44 ," 63"" ", Jl. Alianyang Gg. Lestrari ,
, Jl. ALIANYANG ,   Zhong Yi Tang , E 108º  , 58' 55 ," 01"" ", RT 23/08 Kelurahan Melayu ,
19, CETIYA SHIN NUNG MIAU / NG KUK JA , 神农庙/五谷爷 , N  00º  , 54' 26 ," 00"" ", Jl. Tani  ,
, JL. TANI ,   Shen Nong Miao / Wu Gu Ye , E 108º  , 58' 17 ," 86"" ", RT 14/03 Kelurahan Pasiran ,
20, VIHARA MAITREYA BAHTERA SUCI , 道岸佛堂 , N  00º  , 54' 51 ," 93"" ", Jl. Tani Gg. Restu No.39 ,
, JL. TANI ,   Dao An Fo Tang , E 108º  , 58' 47 ," 58"" ", RT 02/01 Kelurahan Kuala ,
21, CETIYA FA SAN THAI HEU , 华山大猴庙 , N  00º  , 54' 24 ," 96"" ", Jl. Tani 2 ,
, JL. TANI ,   Hua Shan Da Hou Miao , E 108º  , 58' 15 ," 71"" ", RT 14/03 Kelurahan Pasiran ,
22, CETIYA THAI PAK KUNG , 大伯公庙 , N  00º  , 53' 45 ," 90"" ", Jl. Tani Gg. Padi , Kompleks Bengkel 
, JL. TANI ,   Da Bo Gong Miao , E 108º  , 57' 51 ," 88"" ", RT 34/15 Kelurahan Pasiran , SINAR SURYA 
23, CETIYA TRIDHARMA DEWI PADI / NG KUK PHO , 神农宮/五谷婆 , N  00º  , 54' 07 ," 74"" ", Jl. Tani Gg. Camar ,
, JL. TANI ,   Shen Nong Gong / Wu Gu Po , E 108º  , 58' 11 ," 42"" ", RT 39/15 Kelurahan Pasiran ,
24, CETIYA TRIDHARMA CHI PO KIUNG , 慈保公 , N  00º  , 54' 16 ," 96"" ", Jl. Tani Gg. Nuri ,
, JL. TANI ,   Ci Bao Gong , E 108º  , 58' 06 ," 85"" ", RT 39/15 Kelurahan Pasiran ,
25, CETIYA THIAN SAN KUNG KUNG , 天山公公庙 , N  00º  , 54' 40 ," 52"" ", Jl. Tani Gg. Cimahi ,
, JL. TANI ,   Tian Shan Gong Gong Miao , E 108º  , 58' 26 ," 11"" ", RT 04/01 Kelurahan Kuala ,
26, CETIYA NAM HOI KON JIM NYIONG NYIONG , 南海观音娘娘庙 , N  00º  , 54' 40 ," 15"" ", Jl. Tani Gg. Cimahi ,
, JL. TANI ,   Nan Hai Guan Yin Niang Niang Miao , E 108º  , 58' 25 ," 72"" ", RT 04/01 Kelurahan Kuala ,
27, CETIYA SI THAI THIAN BONG , 四大天王庙 , N  00º  , 54' 37 ," 72"" ", Jl. Tani Gg. Pekong ,
, JL. TANI ,   Si Da Tian Wang Miao , E 108º  , 58' 35 ," 67"" ", RT 04/01 Kelurahan Kuala ,
28, CETIYA KIM SAN PAK KUNG , 金山伯公庙 , N  00º  , 54' 27 ," 30"" ", Jl. Tani Gg. Seksama ,
, JL. TANI ,   Jin Shan Bo Gong Miao , E 108º  , 58' 35 ," 28"" ", RT 04/01 Kelurahan Kuala ,
29, CETIYA KIM SAN MIAU , 金山庙 , N  00º  , 54' 46 ," 86"" ", Jl. Kelapa Dua ,
, JL. KELAPA DUA ,   Jin Shan Miao , E 108º  , 58' 23 ," 32"" ", RT 04/01 Kelurahan Kuala ,
30, CETIYA FAB SHI MIAU , 法师庙 , N  00º  , 54' 41 ," 29"" ", Jl. Kelapa Dua ,
, JL. KELAPA DUA ,   Fa Shi Miao , E 108º  , 58.' 23 ," 70"" ", RT 13/03 Kelurahan Kuala ,
31, VIHARA TUNG SHIN KIUNG / THAI SHIN JA , 东圣官/大圣爷(莲堂路) , N  00º  , 54' 08 ," 58"" ", Jl. P. Natuna No.131 , DONE 
, JL. P. NATUNA ,   Dong Sheng Gong (Lian Tang Lu) , E 108º  , 59' 22 ," 28"" ", RT 15/08 Kelurahan Pasiran ,
32, VIHARA THO FAB KIUNG , 道法官(莲堂路) , N  00º  , 54' 09 ," 26"" ", Jl. P. Natuna No.22 ,
, JL. P. NATUNA ,   Dao Fa Gong (Lian Tang Lu) , E 108º  , 59' 24 ," 90"" ", RT 14/06 Kelurahan Pasiran ,
33, VIHARA PAK SAN CHAU KIUNG , 伯山朝官(莲堂路) , N  00º  , 54' 10 ," 48"" ", Jl. P. Natuna No.16  ,
, JL. P. NATUNA ,   Bo Shan Chao Gong (Lian Tang Lu) , E 108º  , 59' 21 ," 47"" ", RT 14/06 Kelurahan Pasiran ,
34, CETIYA THAI CI MIAU , 太子庙(莲堂路) , N  00º  , 54' 10 ," 97"" ", Jl. P. Natuna  ,
, JL. P. NATUNA ,   Tai Zi Miao (Lian Tang Lu) , E 108º  , 59' 21 ," 98"" ", RT 14/06 Kelurahan Pasiran ,
35, CETIYA CI KO THAI BONG , 志高大王(莲堂路) , N  00º  , 53' 56 ," 23"" ", Jl. P. Natuna Gg. Bambu ,
, JL. P. NATUNA ,   Zhi Gao Da Wang (Lian Tang Lu) , E 108º  , 59' 33 ," 72"" ", RT 17/07 Kelurahan Pasiran ,
36, CETIYA TUNG SHIN MIAU , 东圣庙(莲堂路) , N  00º  , 54' 03 ," 24"" ", Jl. P. Natuna Gg. Samudera ,
, JL. P. NATUNA ,   Dong Sheng Miao (Lian Tang Lu) , E 108º  , 59' 31 ," 57"" ", RT 17/07 Kelurahan Pasiran ,
37, VIHARA SAM CHIN MIAU / FAB ZHU KUNG , 三清庙/法主公(莲堂路) , N  00º  , 54' 06 ," 49"" ", Jl. P. Natuna Gg. Sinar No.81 ,
, JL. P. NATUNA ,   San Qing Miao / Fa Zhu Gong (Lian Tang Lu) , E 108º  , 59' 30 ," 44"" ", RT 14.06 Kelurahan Pasiran ,
38, CETIYA KON JIM FUT MU , 观音佛母坛(莲堂路) , N  00º  , 54' 22 ," 57"" ", Jl. Pasar Turi  ,
, JL. P. NATUNA ,   Guan Yin Fo Mu Tan (Lian Tang Lu) , E 108º  , 59' 32 ," 52"" ", RT 08/04 Kelurahan Pasiran ,
39, CETIYA SIAN KIUNG MIAU FAB , 仙宮妙法(井斗厂) , N  00º  , 53' 50 ," 62"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   Xian Gong Miao Fa (Jing Dou Chang) , E 108º  , 59' 19 ," 79"" ", RT 21/08 Kelurahan Pasiran ,
40, CETIYA CONG THIAN SHI  , 張天师庙(公司山) , N  00º  , 54' 00 ," 24"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Zhang Tian Shi Miao (Gong Si Shan) , E 108º  , 59' 41 ," 19"" ", RT 16/06 Kelurahan Pasiran ,
41, CETIYA FAB SHI MIAU , 法师庙(公司山) , N  00º  , 53' 59 ," 68"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Fa Shi Miao (Gong Si Shan) , E 108º  , 59' 40 ," 99"" ", RT 16/06 Kelurahan Pasiran ,
42, VIHARA METTA KARUNA DHARMA SUCI , 法妙坛(公司山) , N  00º  , 54' 00 ," 49"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Fa Miao Tan (Gong Si Shan) , E 108º  , 59' 39 ," 56"" ", RT 16/06 Kelurahan Pasiran ,
43, CETIYA HO SAN FUT FAB KI KIUN THONG , 和善佛法济君坛(公司山) , N  00º  , 54' 00 ," 86"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   He Shan Fo Fa Ji Jun Tan (Gong Si Shan) , E 108º  , 59' 46 ," 09"" ", RT 16/06 Kelurahan Pasiran ,
44, CETIYA THU THI PAK KUNG , 土地伯公坛(公司山) , N  00º  , 53' 45 ," 54"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   Tu Di Bo Gong Tan (Gong Si Shan) , E 108º  , 59' 37 ," 99"" ", RT 24/10 Kelurahan Pasiran ,
45, VIHARA LIAN THONG SHUI KHEU PAK KUNG , 水口伯公庙(芒桔头) , N  00º  , 53' 44 ," 38"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Shui Kou Bo Gong (Mang Jie Tou) , E 108º  , 59' 45 ," 62"" ", RT 24/10 Kelurahan Pasiran ,
46, CETIYA NG FU MIAU , 五虎庙(芒桔头) , N  00º  , 53' 44 ," 06"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Wu Hu Miao (Mang Jie Tou) , E 108º  , 59' 45 ," 30"" ", RT 24/10 Kelurahan Pasiran ,
47, CETIYA SAM CHIN KIUNG , 三清宮(芒桔头) , N  00º  , 53' 41 ," 35"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Shan Qing Gong (Mang Jie Tou) , E 108º  , 59' 43 ," 92"" ", RT 24/10 Kelurahan Pasiran ,
48, CETIYA THAI PAK KUNG KUNG , 大伯公公庙 , N  00º  , 53' 29 ," 92"" ", Jl. P. Natuna ,
, KAWASAN PEMAKAMAN NYI BU SAN ,   Da Bo Gong Gong Miao , E 108º  , 59' 42 ," 09"" ", RT 24/10 Kelurahan Pasiran ,
49, CETIYA MU JAN PAK KONG , 墓园伯公庙 , N  00º  , 53' 36 ," 37"" ", Jl. P. Natuna ,
, KAWASAN PEMAKAMAN NYI BU SAN ,   Mu Yuan Bo Gong Miao , E 108º  , 59' 42 ," 41"" ", RT 24/10 Kelurahan Pasiran ,
50, VIHARA MU PUN THO THONG , 务本道堂(志师坛) , N  00º  , 53' 24 ," 55"" ", Jl. Kridasana Gg. 70 No.32 ,
, JL. BURHANI ,   Mu Ben Dao Tang (Zhi Shi Tan) , E 108º  , 59' 18 ," 61"" ", RT 26/10 Kelurahan Pasiran ,
51, CETIYA CHIP TET KIUNG , 集德宮(志师坛) , N  00º  , 53' 27 ," 33"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Ji De Gong (Zhi Shi Tan) , E 108º  , 59' 22 ," 89"" ", RT 24/10 Kelurahan Pasiran ,
52, CETIYA SAM CHIN KIUNG , 三清宮(志师坛) , N  00º  , 53' 26 ," 94"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Shan Qing Gong (Zhi Shi Tan) , E 108º  , 59' 32 ," 95"" ", RT 24/10 Kelurahan Pasiran ,
53, CETIYA THAI PAK KUNG , 大伯公庙(志师坛) , N  00º  , 53' 26 ," 93"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Da Bo Gong Miao (Zhi Shi Tan) , E 108º  , 59' 32 ," 71"" ", RT 24/10 Kelurahan Pasiran ,
54, CETIYA LIUK LIUK KONG SEN , 六六罡星(志师坛) , N  00º  , 53' 30 ," 25"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Liu Liu Gang Xing (Zhi Shi Tan) , E 108º  , 59' 37 ," 11"" ", RT 24/10 Kelurahan Pasiran ,
55, CETIYA SAM CHIN FAB THAN , 三清法坛(志师坛) , N  00º  , 53' 28 ," 22"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Shan Qing Fa Tan (Zhi Shi Tan) , E 108º  , 59' 36 ," 53"" ", RT 24/10 Kelurahan Pasiran ,
56, VIHARA SAK CHI KIUNG , 石慈官(运动场) , N  00º  , 53' 13 ," 50"" ", Jl. Kridasana Gg. Karya II No.79 ,
, JL. KRIDASANA ,   Shi Ci Gong (Yun Dong Chang) , E 108º  , 59' 00 ," 52"" ", RT 28/11 Kelurahan Pasiran ,
57, CETIYA FUNG MIAN CIONG KIUN , 紅面將军(运动场) , N  00º  , 53' 36 ," 73"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Hong Mian Jiang Jun (Yun Dong Chang) , E 108º  , 59' 10 ," 99"" ", RT 52/11 Kelurahan Pasiran ,
58, CETIYA FUT SHIN KIUNG , 佛神宮(运动场) , N  00º  , 53' 37 ," 22"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Fo Shen Gong (Yun Dong Chang) , E 108º  , 59' 12 ," 22"" ", RT 52/11 Kelurahan Pasiran ,
59, CETIYA FA SAN LI FAB THAN , 华山李法坛(运动场) , N  00º  , 53' 34  ," 88"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Hua Shan Li Fa Tan (Yun Dong Chang) , E 108º  , 59' 08 ," 72"" ", RT 52/11 Kelurahan Pasiran ,
60, VIHARA THAI PAK KUNG / BUN BU NYIAN SAI , 大伯公庙/文武元帅庙 , N  00º  , 53' 49 ," 37"" ", Jl. Kridasana Gg. Setuju ,
, JL. KRIDASANA ,   Da Bo Gong Miao / Wen Wu Yuan Shuai , E 108º  , 59' 16 ," 34"" ", RT 22/09 Kelurahan Pasiran ,
61, CETIYA FAB SHI THAN , 法师坛 , N  00º  , 53' 49 ," 29"" ", Jl. Kridasana Gg. Makasar ,
, JL. KRIDASANA ,   Fa Shi Tan , E 108º  , 59' 14 ," 09"" ", RT 20/09 Kelurahan Pasiran ,
62, VIHARA TRIDHARMA PAK KUNG PAK PHO , 大伯公庙(三叉路) , N  00º  , 53' 42 ," 83"" ", Jl. Pelita Gg. Lembah I No.32 ,
, JL. KRIDASANA ,   Da Bo Gong Miao (San Cha Lu) , E 108º  , 59' 00 ," 02"" ", RT 27/11 Kelurahan Pasiran ,
63, VIHARA DHARMA BUDDHA DHAMMA SAVANA , 晋恩佛堂(三叉路) , N  00º  , 53' 54 ," 71"" ", Jl. Yohana Godang No.57 ,
, JL. YOHANA GODANG ,   Jin En Fo Tang (San Cha Lu) , E 108º  , 59' 04 ," 18"" ", RT 48/17 Kelurahan Pasiran ,
64, CETIYA LUI THIAN CU SHI , 雷天祖师庙(三叉路) , N  00º  , 54' 10 ," 65"" ", Jl. Stasiun ,
, JL. STASIUN ,   Lei Thian Zu Shi Miao (San Cha Lu) , E 108º  , 59' 17 ," 46"" ", RT 04/02 Kelurahan Pasiran ,
65, VIHARA TRIDHARMA BUMI RAYA , 港尾大伯公庙(港尾) , N  00º  , 54' 19 ," 00"" ", Jl. Pasar Turi No.21 , DONE 
, PASAR TURI ,   Gang Wei Da Bo Gong (Gang Wei) , E 108º  , 59' 34 ," 61"" ", RT 12/04 Kelurahan Pasiran ,
66, CETIYA THAI PAK KUNG KUNG , 大伯公公庙(港尾肚) , N  00º  , 54' 06 ," 05"" ", Jl. Pasar Turi Dalam ,
, PASAR TURI DALAM ,   Da Bo Gong Gong Miao (Gang Wei Du) , E 108º  , 59' 49 ," 11"" ", RT 18/07 Kelurahan Pasiran ,
67, CETIYA THAI PAK KUNG , 大伯公坛 , N  00º  , 54' 20 ," 01"" ", Jl. Sama-sama , Depan Hotel RAJAWALI 
, Jl. SAMA-SAMA ,   Da Bo Gong Tan , E 108º  , 59' 27 ," 09"" ", RT 09/05 Kelurahan Pasiran ,
68, CETIYA NYIAN SAI THONG , 元帅堂 , N  00º  , 54' 18 ," 00"" ", Jl. Sama-sama 2 No.76 ,
, Jl. SAMA-SAMA 2 ,   Yuan Shuai Tang , E 108º  , 59' 28 ," 21"" ", RT 09/04 Kelurahan Pasiran ,
69, VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA , 天后宫/天后圣母 , N  00º  , 54' 24 ," 72"" ", Jl. Saman Bujang No.29 ,
, JL. SAMAN BUJANG ,   Tian Hou Gong / Tian Hou Sheng Mu , E 108º  , 59' 14 ," 51"" ", RT 11/03 Kelurahan Pasiran ,
70, VIHARA TRIDHARMA BUDI DHARMA , 观音官 , N  00º  , 54' 18 ," 25"" ", Jl. GM. Situt ,
, JL. GM. SITUT ,   Guan Yin Gong , E 108º  , 59' 23 ," 51"" ", RT 07/02 Kelurahan Pasiran ,
71, VIHARA HIAN THIAN SONG TI , 玄天上帝庙 , N  00º  , 54' 11 ," 51"" ", Jl. GM. Situt ,
, JL. GM. SITUT ,   Xian Tian Shang Di Miao , E 108º  , 59' 18 ," 44"" ", RT 04/02 Kelurahan Pasiran ,
72, VIHARA SHI THIAN FUT CU , 西天佛祖庙 , N  00º  , 53' 23 ," 69"" ", Jl. Gunung Sari Gg. Puncak sari ,
, GUNUNG SARI ,   Xi Tian Fo Zu Miao , E 108º  , 58' 37 ," 82"" ", RT 30/12 Kelurahan Pasiran ,
73, CETIYA SAK KU THAI BONG , 石古大王坛 , N  00º  , 53' 33 ," 94"" ", Jl. Gunung Bawang ,
, GUNUNG SARI ,   Shi Gu Da Wang Tan , E 108º  , 58' 46 ," 88"" ", RT 30/12 Kelurahan Pasiran ,
74, CETIYA THAI PAK KUNG KUNG , 大伯公坛 , N  00º  , 53' 12 ," 93"" ", Jl. Taman Gunung Sari ,
, GUNUNG SARI ,   Da Bo Gong Tan , E 108º  , 58' 52 ," 40"" ", RT 28/11 Kelurahan Pasiran ,
75, CETIYA KON JIM KIUNG , 观音官(石角) , N  00º  , 53' 30 ," 98"" ", Jl. A. Yani No.24 ,
, JL. A. YANI / SAKKOK ,   Guan Yin Gong (Shi Jiao) , E 108º  , 57' 55 ," 38"" ", RT 33/14 Kelurahan Pasiran ,
